event_name,event_type,start_date,end_date,location,market,estimated_attendance,media_impressions,spend,leads_generated,test_drives_completed,description
London Motor Show,motor_show,2025-04-17,2025-04-20,Goodwood Estate,GB,78233,17261543,38613.13,616,242,"Major UK automotive showcase. DEEPAL/AVATR stand featuring S07 prototype display, configurator kiosks, and brand ambassadors. First UK public appearance."
Goodwood Festival of Speed,motor_show,2025-07-10,2025-07-13,NEC Birmingham,GB,230192,26177724,70627.37,1212,223,"Prestige motorsport and automotive event. DEEPAL S07 hillclimb run, static display in Future Lab, VIP hospitality, media drives on track."
DEEPAL S07 UK Launch Event,launch,2025-09-01,2025-09-03,"Printworks, London",GB,523,8762410,94727.52,288,50,"Official UK market launch. Press conference, first customer handovers, dealer principal briefing, influencer experiences, live-streamed reveal."
Fully Charged Live,ev_show,2025-06-06,2025-06-08,Farnborough International,GB,35756,7478568,29671.98,565,184,"Leading EV consumer event. Product demos, expert talks on EV tech, test drive bookings, lead capture, partnership with Fully Charged media."
British Motor Show,motor_show,2025-08-14,2025-08-17,Farnborough,GB,81494,13145310,41254.57,960,223,"National motor show open to public. Full stand build-out, S07 test drives, family-friendly activities, configurator stations, finance consultations."
Fleet Show,fleet,2025-05-07,2025-05-08,Silverstone Circuit,GB,9821,2558090,16096.73,303,116,"B2B fleet and leasing event. Corporate pricing presentations, fleet manager test drives, TCO analysis demos, Salary Sacrifice scheme showcase."
SMMT Test Day,industry,2025-03-04,2025-03-05,Millbrook Proving Ground,GB,536,3045101,9289.31,54,35,"Industry press event for automotive journalists. Pre-production S07 drives, engineering briefings, one-on-one interviews, embargo-lift coordination."
CES London (Tech),tech,2025-10-15,2025-10-17,Olympia London,GB,23038,5574350,25167.45,397,0,"Technology showcase positioning AVATR 12 as a tech-forward EV. AI assistant demo, autonomous features display, connected car ecosystem presentation."
AVATR 12 Reveal,launch,2025-09-15,2025-09-15,"Printworks, London",GB,471,6096758,55112.03,375,37,"Premium reveal event for AVATR 12 SUV. Exclusive venue, invitation-only press and VIP guests, design philosophy presentation, first drives."
AVATR 11 Reveal,launch,2025-10-20,2025-10-20,"The Shard, London",GB,560,3666991,59619.5,323,62,"AVATR 11 sedan UK debut. Executive audience, Huawei HarmonyOS demo, luxury positioning, comparison with BMW i5/Mercedes EQE."
DEEPAL S05 Preview,launch,2025-12-01,2025-12-02,"The Shard, London",GB,762,2185096,62585.08,343,45,"Pre-order event for DEEPAL S05 SUV-Coupe. Online livestream, early-bird reservation pricing, configurator launch, dealer allocation preview."
Dealer Launch Roadshow — London,roadshow,2025-09-05,2025-09-06,"Battersea Power Station, London",GB,2123,1615335,13447.98,173,116,"South East dealer activation. Customer test drives, local media coverage, dealer staff certification, opening weekend celebration."
Dealer Launch Roadshow — Manchester,roadshow,2025-09-12,2025-09-13,"MediaCityUK, Manchester",GB,1857,1310568,15414.87,247,102,"North West dealer activation. Community engagement, local influencer partnerships, test drive routes through Peak District."
Dealer Launch Roadshow — Edinburgh,roadshow,2025-09-19,2025-09-20,"Royal Highland Centre, Edinburgh",GB,1798,1254253,12894.12,225,141,"Scotland dealer activation. Highlands test drive route, Scottish media engagement, partnership with local EV charging network."
Dealer Launch Roadshow — Birmingham,roadshow,2025-09-26,2025-09-27,NEC Birmingham,GB,2521,1731428,15553.03,208,109,"Midlands dealer activation. NEC proximity event, fleet customer demonstrations, M6 corridor visibility campaign tie-in."
Black Friday Sales Event,promo,2025-11-28,2025-12-01,National (online + dealer network),GB,0,12013653,20317.84,1556,0,"Limited-time digital promotional campaign with dealer support. Enhanced finance offers, deposit contribution, free home charger bundle."
Year-End Clearance,promo,2025-12-15,2025-12-31,National (online + dealer network),GB,0,10006516,19607.49,1167,0,"End of year sales push across all models. Fleet registrations, demonstrator clearance, Q1 2026 order incentives, S05 early reservations."
